Formel: Speedup S(p)?	S(p) = T_seq / T_par(p) — T_seq = schnellstes sequenzielles Programm
OpenMP: reduction — Anforderungen an Operator?	Kommutativ und assoziativ; Gleitkomma → Rundungsunterschiede möglich
OpenMP: Rangfolge Synchronisationsmechanismen?	atomic → critical → Locks (Effizienz/Einfachheit zuerst); reduction schlägt alle, wenn anwendbar
OpenMP: unbenanntes critical — Falle?	Alle unbenannten criticals teilen EINEN globalen Lock — auch für verschiedene Daten
OpenMP: Wo implizite Barrieren?	Ende von parallel, for, sections, single (nowait entfernt sie, außer bei parallel); master hat KEINE
OpenMP: single vs. master?	single: ein beliebiger Thread + Barriere am Ende; master: nur Thread 0, keine Barriere, keine Klauseln
OpenMP: Task-Datenumgebung Default?	Im Erzeugerkontext private Variablen → firstprivate im Task (Wert bei Erzeugung kopiert); shared bleibt shared
OpenMP: taskwait?	Wartet auf die direkten Kind-Tasks des aktuellen Tasks
OpenMP: Wozu Cutoff bei rekursiven Tasks?	Verhindert exponentiell viele Kleinst-Tasks — Task-Overhead würde Nutzen übersteigen; unterhalb der Schwelle sequenziell
OpenMP: Wann Tasks statt parallel for?	Irreguläre Strukturen: Listen (while), Rekursion, Divide & Conquer; sonst parallel for (weniger Overhead)
OpenMP: Cancellation-Modell?	Kooperativ: cancel signalisiert, Threads prüfen an cancellation points; OMP_CANCELLATION=true nötig
OpenMP: nowait — wann sicher?	Wenn die Folgeschleife nur Daten desselben Threads liest: identische Schleifenköpfe + schedule(static) — sonst Race
MPI: Was ist MPI?	Ein Standard (nicht Implementierung) für Message Passing; Implementierungen: Open MPI, MPICH; SPMD, Ranks, privater Speicher pro Prozess
MPI: Grundgerüst?	MPI_Init → MPI_Comm_rank/MPI_Comm_size (MPI_COMM_WORLD) → Arbeit → MPI_Finalize; kompilieren mit mpicc, starten mit mpirun/srun
MPI: Matching-Regeln Send/Recv?	Gleicher Kommunikator, passende Quelle/Ziel, passender Tag, Empfangspuffer ≥ Sendegröße; ANY_SOURCE/ANY_TAG beim Recv erlaubt
MPI: Semantik MPI_Send (Standard Mode)?	Kehrt zurück, wenn Sendepuffer wiederverwendbar: zugestellt ODER systemgepuffert — nicht unterscheidbar!
MPI: Die 4 Kommunikationsmodi?	Standard (Send), Buffered (Bsend + Buffer_attach), Synchronous (Ssend, Rendezvous), Ready (Rsend — nie verwenden); I-Präfix = nichtblockierend
MPI: Eager vs. Rendezvous?	Klein: eager (Systempuffer, Send kehrt früh zurück — versteckt Deadlocks). Groß: rendezvous (Send wartet auf Recv — Deadlock schlägt zu)
MPI: Wozu MPI_Ssend beim Debuggen?	Erzwingt Rendezvous → latente Send-Send-Deadlocks werden deterministisch sichtbar; Test auf „safe program"
MPI: Safe Program?	Korrektheit hängt nicht von Existenz/Größe der MPI-Systempuffer ab
MPI: Nichtblockierend — 2 Phasen?	Initiierung (Isend/Irecv, lokal, Request-Handle) + Abschluss (Wait/Test/Waitall). Sendepuffer bis Abschluss nicht ändern; Empfangspuffer weder lesen noch schreiben
MPI: Deadlock-Muster Nr. 1?	Beide Prozesse Recv zuerst (garantiert) oder beide Send zuerst (latent, bei groß/Ssend garantiert). Fixes: Umordnen, Sendrecv, Isend+Wait
MPI: MPI_Sendrecv?	Senden + Empfangen in einem Aufruf, intern deadlock-frei — Standard für paarweisen Austausch, Ringe, Halo Exchange
MPI: Kollektive — Grundregeln?	Alle Prozesse des Kommunikators rufen auf, gleiche Reihenfolge, KEINE Tags, exakte Puffergrößen; nie blockierend mit nichtblockierend mischen
MPI: Bcast vs. Scatter?	Bcast: Root schickt IDENTISCHE Daten an alle. Scatter: Root verteilt STÜCKE (je n/p, teilbar!); ungleich → Scatterv (counts+displs)
MPI: Gather — recvcount-Falle?	recvcount = Elemente PRO PROZESS, nicht Gesamtgröße; Sammeln in Rank-Reihenfolge; Puffergröße = Programmiererpflicht
MPI: Reduce vs. Allreduce?	Reduce: elementweise Kombination (SUM/MAX/MAXLOC…) zum Root; Allreduce: Ergebnis an alle; Scan: Präfix-Reduktion
MPI: Warum Kollektive statt P2P-Schleife?	Baumbasiert O(log p) statt O(p), kürzer, performance-portabel (Bibliothek wählt Algorithmus)
MPI: Kollektiv+P2P-Deadlock der Vorlesung?	Rank 0: Bcast→Send; Rank 1: Recv→Bcast → beide blockieren. Fix: gleiche Reihenfolge oder Ibcast+Wait
SLURM: OpenMP-Job-Muster?	--nodes=1 --ntasks=1 --cpus-per-task=N; export OMP_NUM_THREADS=$SLURM_CPUS_PER_TASK; Programm direkt starten
SLURM: MPI-Job-Muster?	--ntasks=N (ggf. --nodes/--ntasks-per-node); srun ./prog (oder mpirun -np $SLURM_NTASKS)
SLURM: ntasks vs. cpus-per-task?	ntasks = Prozesse (MPI-Ranks); cpus-per-task = Kerne pro Prozess (OpenMP-Threads)
SLURM: OpenMP-Programm mit srun --ntasks=8 gestartet?	8 unabhängige Kopien (keine Kooperation!), je N Threads → Oversubscription + doppelte Ausgabe
SLURM: MPI-Programm ohne srun/mpirun?	Läuft als einzelner Rank (size = 1)
SLURM: Oversubscription?	Mehr Threads/Ranks als reservierte Kerne → Zeitscheiben statt Parallelität, Messwerte unbrauchbar
Messmethodik: Regeln?	Wall-Clock (omp_get_wtime/MPI_Wtime), nur Kernel, Laufzeit ≥ ~30 s, ≥ 3 Wiederholungen, Ergebnis ausgeben (Dead-Code!), auf dem Cluster messen
time-Kommando: real/user/sys?	real = Wall-Clock; user = CPU-Zeit User-Mode; sys = CPU-Zeit Kernel-Mode; parallel zählt real
Profiling vs. Tracing?	Profiling: aggregierte Statistik, wenig Overhead, keine Zeitordnung. Tracing: Ereignisse mit Zeitstempel, Kausalität sichtbar, hoher Overhead
Late Sender / Late Receiver?	Late Sender: Empfänger wartet im Recv (Send kommt spät). Late Receiver: Sender blockiert (synchron/Rendezvous), weil Recv fehlt
Werkzeuge: Score-P/Cube/Vampir/Scalasca/TAU?	Score-P: Instrumentierung (Profile+Traces); Cube: Profil-GUI; Vampir: Trace-Timeline; Scalasca: automatische Muster (Late Sender); TAU: All-in-One; MUST: MPI-Korrektheit
count3s: die 4 Vorlesungs-Varianten?	1) unsynchronisiert → Race; 2) atomic → Bottleneck; 3) privates Zählerarray → False Sharing; 4) Padding → gut. (Beste Lösung: reduction)
Cache-Line-Größe und Bedeutung?	Typisch 64 Byte — Einheit des Cache-Transfers und der Kohärenz; Grund für räumliche Lokalität und False Sharing
Matrixmultiplikation: Warum i-k-j schneller als i-j-k?	Innerste Schleife läuft stride-1 durch c und b (row-major) statt spaltenweise durch b → Cache-Lines voll genutzt
TOP500?	Liste der 500 schnellsten Supercomputer, LINPACK, FLOPS, 2×/Jahr; Spitze: El Capitan (~1.7 ExaFLOPS); Green500 = Energieeffizienz
